,0,1,2
0,"{'vocab_size': 20136, 'maxlen': 100, 'num_classes': 21, 'masking': False, 'cell_count': 64, 'recur_dropout': 0.0}","['Loss', 2.6389661550521852, 2.2346596002578734, 2.0761416733264921, 2.0607813477516173, 1.974122941493988]","['Accuracy', 0.32449999898672105, 0.40249999761581423, 0.4439999982714653, 0.43699999451637267, 0.46199999600648878]"
1,"{'vocab_size': 20136, 'maxlen': 100, 'num_classes': 21, 'masking': False, 'cell_count': 64, 'recur_dropout': 0.2}","['Loss', 2.7269049882888794, 2.3955200433731081, 2.1692840576171877, 2.0843735337257385, 2.0340689003467558]","['Accuracy', 0.25250000283122065, 0.42249999642372132, 0.45599999874830244, 0.45599999576807021, 0.47749999761581419]"
2,"{'vocab_size': 20136, 'maxlen': 100, 'num_classes': 21, 'masking': False, 'cell_count': 128, 'recur_dropout': 0.0}","['Loss', 2.5538899540901183, 2.2193228185176848, 2.0332709848880768, 2.0034337997436524, 1.8978265523910522]","['Accuracy', 0.29950000122189524, 0.3924999997019768, 0.44799999892711639, 0.45649999529123308, 0.47800000160932543]"
3,"{'vocab_size': 20136, 'maxlen': 100, 'num_classes': 21, 'masking': False, 'cell_count': 128, 'recur_dropout': 0.2}","['Loss', 2.569973039627075, 2.237013655900955, 2.0990642547607421, 1.9974234044551848, 1.9179193019866942]","['Accuracy', 0.31500000022351743, 0.42949999868869781, 0.45899999886751175, 0.45649999827146531, 0.48299999833106994]"
