,1,2,3
A,2.843693066,2.668994689, 2.3366909861564635]
B,2.813332975,2.77898407, 2.5041938543319704]
C,2.799661255,2.560499811, 2.2546922683715822]
D,2.870911098,2.631102788, 2.3050268054008485]
